name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,time_res
11A1a,555,7198.4092369068,-2514.56415603159,6.1246200835939,9.07137992884464,476451943.385567,92.4712511145233,337.987350964613,35.9063842853507,3.38256416393694,1.64178998100628,610818.814579617,0.005419764548056,0.045916259564538,0.046031192432605,0.004336593358455,0.000172335887271,4.0958926622802E-05
11A1b,555,7009.62678405488,-2776.29132019639,4.08591245765324,11.5257901396432,593343899.344622,95.4575613210898,337.365207710444,39.0127360288608,2.05007236197871,1.63511665007739,751595.908611144,0.004098878037471,0.049307694271443,0.049409581685169,0.002596669946493,9.44003848878623E-05,4.0958926622802E-05
11A2,555,6330.88778087395,-1739.50886857563,1.71400259493795,8.23570894316618,392603617.46689,94.4748699498805,337.840890226632,54.6631797403446,2.75191029880321,1.67323483630546,551295.164603377,0.008741052551591,0.076363445201266,0.076764881356524,0.003864579243357,0.000100231814851,4.0958926622802E-05
11A3,555,5678.5604823498,-1036.23038158039,0.771738728876602,10.3412713818247,558320572.616748,107.488083045714,338.244617297283,48.4290536452523,5.75093955303966,1.74167980506306,409098.475616879,0.007325154800093,0.034975197683036,0.035484757808874,0.004213583939586,0.000124803361374,4.0958926622802E-05
11D,555,6971.96600276916,-1162.34794648252,0.246899552779142,125.864028079341,2343708253.72758,150.495086372291,338.370278299948,52.9561586355926,-8.56299852069416,1.72344217524685,318614.890153506,0.001588028515229,0.007117160785604,0.007198663671714,0.001164067349003,3.19228608057419E-05,4.0958926622802E-05
11A1a,556.666666666667,7198.4092369068,-2801.85414095813,7.60100003712137,9.31887371434205,478578312.088232,92.4706220090298,337.999476569206,35.6655056497323,3.3782644645732,1.63453141639247,610511.80491782,0.005186278683179,0.045407742905941,0.045499302129686,0.004309760715587,0.000172435649968,4.0958926622802E-05
11A1b,556.666666666667,7009.62678405488,-3055.03671684829,5.08348887767779,11.7010570795915,591475250.175601,95.4575835919559,337.322502483036,38.4212725579974,2.05938253028418,1.62926201553743,755230.290185761,0.003887439874302,0.048983256087334,0.049066852716717,0.002629730496736,9.70635969741708E-05,4.0958926622802E-05
11A2,556.666666666667,6330.88778087395,-1921.45750991431,2.08417954423288,8.53298278086819,392956958.034694,94.4757602752044,337.747817724118,54.4911215942068,2.7567974328335,1.66359309237201,548227.272748447,0.008018984735106,0.07570141490567,0.076027718029036,0.003846391431459,0.000100078573173,4.0958926622802E-05
11A3,556.666666666667,5678.5604823498,-1111.7673102327,0.875315310276275,10.7414562382077,558128698.033274,107.489189163532,338.212765873713,48.3835894877705,5.74862378041377,1.73027223816278,404262.073806566,0.006918936659452,0.034605923242256,0.035044347214741,0.004163573167299,0.000123440338257,4.0958926622802E-05
11D,556.666666666667,6971.96600276916,-1216.23792391787,0.272490637578643,124.150735325497,2342905182.8333,150.494640118755,338.370693271657,52.8669719986883,-8.57138440176154,1.71677647444641,320797.703891699,0.00156737517375,0.007163101304474,0.007238051836927,0.001173580260183,3.22432848582923E-05,4.0958926622802E-05
11A1a,558.333333333333,7198.4092369068,-2812.48883343375,7.76352215603924,8.95269782376851,473671643.726313,92.4692023567108,338.023502274114,36.1882845114044,3.40206002105395,1.63429106722108,617144.157310921,0.005341066117786,0.047054075089046,0.047148279457304,0.004433133189068,0.000174798560319,4.0958926622802E-05
11A1b,558.333333333333,7009.62678405488,-3310.67821233823,6.00391944943293,11.3148419880351,586975250.974531,95.4585362338868,337.234786420112,38.9248981509431,2.05349272801,1.62475657882894,766314.293006546,0.003831783693432,0.050755302048146,0.050829074734753,0.002681114571791,9.76671471407822E-05,4.0958926622802E-05
11A2,558.333333333333,6330.88778087395,-2195.29968962715,2.79632382601072,8.21748578128591,394553287.95352,94.4713306107529,337.683816375238,53.7826050055965,2.7302019918745,1.65207211060312,564997.9822582,0.007367868163604,0.076764881220259,0.077018478464011,0.003909774833766,0.000103071967168,4.0958926622802E-05
11A3,558.333333333333,5678.5604823498,-1188.55912650632,1.0233069376852,10.3542853808216,555754443.979663,107.487416884531,338.227852759479,48.3463002743741,5.77003567595491,1.72012626066559,411149.998246226,0.006792195323228,0.035373834960007,0.035766215212999,0.00426848876545,0.000126664918571,4.0958926622802E-05
11D,558.333333333333,6971.96600276916,-1278.17810993776,0.301552437681027,122.547068194009,2342983133.34796,150.494880708766,338.363259673079,52.9183208957758,-8.57434678378735,1.70979534240133,322308.854033521,0.001543265688497,0.007210867804413,0.007279222570371,0.001179492110531,3.23723917833038E-05,4.0958926622802E-05
11A1a,560,7198.4092369068,-3352.84358513695,10.7346094862173,9.26285993304034,480462941.052271,92.4692820613819,337.993469983849,35.8919001968496,3.33110293666162,1.62407926633289,617918.241714246,0.004934340559115,0.046097800680505,0.046162754769029,0.004284271705395,0.000170270270431,4.0958926622802E-05
11A1b,560,7009.62678405488,-4013.30210755922,8.6444185954108,11.7815690714874,600788026.253144,95.4535564942772,337.122219202417,38.1491967948454,2.00106348815229,1.61532335748269,773647.725061052,0.003378085444058,0.049087131896845,0.049135699825919,0.002577012517124,9.57819073232729E-05,4.0958926622802E-05
11A2,560,6330.88778087395,-2445.07617547719,3.41145565263555,8.59791751043191,392122685.443961,94.4756282246729,337.411290605418,53.9527849592404,2.70824604091805,1.64380052649704,559181.776533459,0.006807256053449,0.07673891881926,0.076943367838458,0.003862450047389,0.000101496484831,4.0958926622802E-05
11A3,560,5678.5604823498,-1293.43050676243,1.19153785960495,10.7077263986046,556236479.214228,107.489820679077,338.173790055248,48.231038275765,5.74518609392149,1.70817690368527,406811.564972247,0.006376572156058,0.034946174333784,0.035273816358904,0.004201619737991,0.000124971749309,4.0958926622802E-05
11D,560,6971.96600276916,-1366.27992296511,0.341183051917507,125.855058269906,2344752456.34095,150.495200031402,338.352562270156,52.7581509736361,-8.58042495647676,1.70093653939216,318899.010245604,0.001485179451812,0.00711570304269,0.007174763141873,0.001166945757635,3.21325019118571E-05,4.0958926622802E-05
11A1a,561.666666666667,7198.4092369068,-4593.40447120321,20.7742072089774,9.44720507112095,478648687.563,92.4693585542192,338.192649727593,35.3279660044847,3.36890715220478,1.60970610935137,618264.924731853,0.004696890448117,0.045601559376957,0.045635789225874,0.004351751983127,0.000175796468322,4.0958926622802E-05
11A1b,561.666666666667,7009.62678405488,-4756.1671384198,12.4242301236648,11.911285729726,600069288.866382,95.4516056165497,337.110034791491,37.6366544427911,2.01707376689122,1.60837583781141,774286.662953718,0.003177322711086,0.04853742335127,0.048571617398105,0.002602845758501,9.80741487349362E-05,4.0958926622802E-05
11A2,561.666666666667,6330.88778087395,-2767.91348069148,4.44153038933164,8.78077544056634,392470464.839785,94.4729685777883,337.428636731909,53.3558871371424,2.72499918151603,1.63531079401429,559508.11142128,0.006251949219472,0.07591118053125,0.076069058014971,0.003884905667757,0.000103236082636,4.0958926622802E-05
11A3,561.666666666667,5678.5604823498,-1400.8674013796,1.38118747252369,10.9458918217685,558731244.499278,107.48851547614,338.204151671561,48.2087164898117,5.72505257962063,1.69775821801727,406195.472445699,0.006061242142418,0.03476887449994,0.035046992722679,0.004161919269149,0.000123837418707,4.0958926622802E-05
11D,561.666666666667,6971.96600276916,-1453.2058437486,0.387406633612555,126.561076362861,2342192416.14439,150.495045443619,338.360415078558,52.6003002021135,-8.60287571431922,1.69323197536888,318469.208333566,0.001452823657442,0.007099559427302,0.00715165830711,0.001169711313797,3.23146089379258E-05,4.0958926622802E-05
11A1a,563.333333333333,7198.4092369068,-3567.14565736188,12.2449350360112,9.52658822558325,479160165.675464,92.4685086222155,338.083793312779,35.910835761171,3.35607298492715,1.62088372875735,616821.519268045,0.00489721440728,0.046176927517865,0.04623442010571,0.004320851349738,0.000171647525712,4.0958926622802E-05
11A1b,563.333333333333,7009.62678405488,-5575.15434075904,17.8065844907808,12.0628435159443,618887600.537893,95.4457309746927,337.238946003351,35.7715612363371,1.99000275767568,1.60285953565124,802592.183632588,0.002977634136002,0.04637458358815,0.046398356421213,0.00258085966183,0.000102337080321,4.0958926622802E-05
11A2,563.333333333333,6330.88778087395,-3198.06069355244,6.01698287959988,8.72170704518163,393960454.025268,94.4704810757162,337.271045211137,52.6767236808493,2.70568677529134,1.62665286930546,567215.639010919,0.005750469719903,0.075730292834791,0.075848306579718,0.003896085674043,0.000104872695022,4.0958926622802E-05
11A3,563.333333333333,5678.5604823498,-1552.75989211594,1.71053028931096,10.9874169734495,557663164.845648,107.488643146309,338.204338995374,48.0413162075962,5.72707658452013,1.68545303634629,408271.196332019,0.005791443561255,0.034943479454491,0.035171133417551,0.004192724642694,0.000125202511561,4.0958926622802E-05
11D,563.333333333333,6971.96600276916,-1535.54092928548,0.431132084572256,125.643943465007,2348535148.6272,150.494983935021,338.353656665323,52.5284685931696,-8.58392938410828,1.68672732611471,319075.801607077,0.001422489714703,0.007090402586218,0.007137026053117,0.001166252377373,3.22589518221066E-05,4.0958926622802E-05
11A1a,565,7198.4092369068,-5254.09467339473,26.9007019043624,9.69535510933815,479675192.294577,92.4671821252584,338.253303237359,35.4455014630671,3.3772768041747,1.60481734015142,613969.275924092,0.004588056501629,0.045349044805832,0.045375066440184,0.004323128887888,0.000174051512437,4.0958926622802E-05
11A1b,565,7009.62678405488,-7101.86880547066,28.7158159279819,12.2856923619857,623512796.278068,95.441670080806,337.222033461871,35.4585147149492,1.97605029585996,1.59597010148386,802498.551161878,0.002790204643057,0.045632003261577,0.045646420258481,0.002543469106761,0.000101745066621,4.0958926622802E-05
11A2,565,6330.88778087395,-3896.38013530092,8.81647192564652,8.97129976654303,397203680.4184,94.4665117972463,337.163536598842,52.3275953103476,2.67514534547125,1.61665767220791,567774.747292649,0.005133943454438,0.074724298605144,0.074802757711984,0.003824341444785,0.000103626581543,4.0958926622802E-05
11A3,565,5678.5604823498,-1711.61822014263,2.05059345988995,11.2001015263612,560643641.038315,107.488393158703,338.19863711312,47.923798425287,5.71021136288193,1.67489212467813,406101.376357007,0.005471157021839,0.034527977088341,0.034713217874791,0.00413608981024,0.000123812358209,4.0958926622802E-05
11D,565,6971.96600276916,-1642.88213679085,0.492197567803104,126.889524215241,2347003455.40146,150.494637774299,338.364498918173,52.4610707933424,-8.59097131751827,1.67921398633494,317851.186433803,0.001388882186454,0.007064740380329,0.007105337119838,0.001163501290193,3.22273421314437E-05,4.0958926622802E-05
11A1a,566.666666666667,7198.4092369068,-9909.7867165129,99.2082722927101,9.43688749837952,478475600.28133,92.4670018031062,338.549150277355,34.9792247729014,3.41826817583735,1.58883901741224,619264.681219828,0.004498327461549,0.045267815337717,0.045275115302424,0.004424246076591,0.000180588721778,4.0958926622802E-05
11A1b,566.666666666667,7009.62678405488,-9424.54961804849,54.4910793337635,11.899299180065,629600227.086187,95.4355905140539,337.79866803308,33.8834703718936,2.00836031149153,1.58976775502387,820830.260223785,0.002748982117404,0.044175617742157,0.044183541446514,0.002618549853237,0.00010966312591,4.0958926622802E-05
11A2,566.666666666667,6330.88778087395,-4921.4920706236,14.5219831679985,8.7094702842506,394905737.155853,94.4622514860258,337.501468585304,51.799351133599,2.69466847470596,1.60711457934292,573147.695881648,0.004767754001475,0.075134145042304,0.075183598201114,0.003911241924589,0.000107071064963,4.0958926622802E-05
11A3,566.666666666667,5678.5604823498,-1906.54128522808,2.56677661735588,10.8894393280302,562076415.733236,107.488367545561,338.234822688715,47.7571012037482,5.71192997989277,1.6643148979165,410004.710647404,0.005271727677525,0.034685967134446,0.034836013602113,0.004166483240229,0.000125171258071,4.0958926622802E-05
11D,566.666666666667,6971.96600276916,-1765.01029141227,0.574345072116254,126.407889674445,2342745707.20237,150.494756129841,338.374990101609,52.3035565584055,-8.61682053322884,1.67176488399767,319234.07151095,0.001371456866807,0.007092285312927,0.007127598619158,0.001174198289144,3.26329346805236E-05,4.0958926622802E-05
11A1a,568.333333333333,7198.4092369068,-6091.67634650084,36.0545123737044,9.46103482424297,477843883.281688,92.4690765035816,338.274038325978,35.6593444534158,3.39249458372906,1.60014248285478,610952.893500888,0.004537558727246,0.045577214150378,0.045596670231947,0.00433769283651,0.000173589981668,4.0958926622802E-05
11A1b,568.333333333333,7009.62678405488,-13293.9062804302,115.852279525824,12.0580703031594,651376320.078615,95.4382970358709,337.894675708275,31.5050996033637,2.00001176540058,1.58424668765684,846983.52666057,0.002658316988185,0.040970995662431,0.040974687075814,0.002600800786667,0.00011720159613,4.0958926622802E-05
11A2,568.333333333333,6330.88778087395,-6394.20095003673,24.4846558970564,8.72661934213794,396479526.846317,94.4633381305549,337.212444371621,51.2639403530135,2.66711371275764,1.59875478894022,574979.157423902,0.004390064559078,0.074318117209949,0.074347102448547,0.003868285029653,0.000107002681606,4.0958926622802E-05
11A3,568.333333333333,5678.5604823498,-2204.60593275569,3.41989192433934,11.002766194829,559650531.442758,107.489104762069,338.195228173866,47.7104079148511,5.7154745434628,1.65173052275915,406980.820971921,0.00500309898084,0.034584542059574,0.034696456979298,0.004156608164333,0.000125001518411,4.0958926622802E-05
11D,568.333333333333,6971.96600276916,-1886.91502743764,0.662526913389694,122.727559788855,2349586714.83459,150.494867984102,338.384576157948,52.187384234684,-8.59726518948131,1.66528185764713,323573.22326985,0.001359862716931,0.007156376299386,0.007187563968715,0.00118400730815,3.29783273797786E-05,4.0958926622802E-05
11A1a,570,7198.4092369068,-12083.590363992,144.998545726866,9.43080741265635,475494097.058229,92.4711170628375,338.555691613078,35.2652099201171,3.42961371556413,1.58559371426385,607991.907340344,0.004435495146654,0.045090983204428,0.045095874781932,0.004385482633396,0.000177537173016,4.0958926622802E-05
11A1b,570,7009.62678405488,-27049.346637536,456.326921903776,11.9510839443439,636245359.355373,95.439679212147,338.29473402528,32.9758340830927,2.00019374160138,1.57740706005391,824175.588083342,0.002606466166121,0.04272401998958,0.042724950224444,0.002591177786037,0.000111520907028,4.0958926622802E-05
11A2,570,6330.88778087395,-9175.28384816953,51.0660144272957,8.7281208882673,395990447.672898,94.4656792745902,337.962658576743,50.8645382913998,2.6868846461101,1.59028302479733,573083.534794964,0.004144555961725,0.073603454878435,0.073617400557876,0.00388899537939,0.00010842782862,4.0958926622802E-05
11A3,570,5678.5604823498,-2531.9738703837,4.46309314846186,11.0440446590439,561491898.64912,107.489711491828,338.284877178304,47.7114095604214,5.6982622622772,1.64130345427322,405913.253178511,0.004773835498063,0.034406799085456,0.034491271606279,0.004119405342569,0.000123870951054,4.0958926622802E-05
11D,570,6971.96600276916,-2062.55948282693,0.790392457219053,124.668729389895,2346592531.21098,150.495079825435,338.379814094637,52.0790863889479,-8.61819989339326,1.65727751911511,321595.623417958,0.001328443029686,0.007111846206534,0.007137789532851,0.001181134337898,3.29754263056525E-05,4.0958926622802E-05
11D,583,6971.96600276916,-6972.28431406615,9.26527835291099,121.903155686147,2357825568.37147,150.496213758579,338.436994011456,51.241959454697,-8.65233223949925,1.5964377694676,326700.341661468,0.001212177922927,0.007097181670113,0.007099448810896,0.001198827948634,3.40592798918632E-05,4.0958926622802E-05
